ID,Title,Text
0,Bad customer service. Staff are very impolite and rude,"Used national rail twice and on both occasions I found the staff unpleasant, unfriendly and incompetent. Wasn't helpful in regards to platform information and general customer service skills."
1,Pretty awful service,"I phoned National rail to find out why several trains had been cancelled to Brighton, none of the advisers spoke English and told me to check the website. Turns out they cancelled a load of trains just because the train guard didn't show up, meaning many people were stranded at Southampton Central, including myself who had a plane flight to catch early the next morning. Southampton Central is easily the worse run station ever, they seem to cancel trains all the time for absolutely no reason then give you stick for attempting your journey another way or tell you try again tomorrow and merely shrug their shoulders when you ask what is going on. I have also witnessed a member of public being verbally harassed by one of the train guards when she was desperately trying to get home but they cancelled many trains for absolutely no reason. Seems they all want to go home early and stick their feet up."
2,Awful staff,I travel from Brokenhast to southampton central without a ticket because I was running to get the train and didn't have time to buy one! When we arrived in Southampton i explained to the staff there what happened I apologise and asked them to buy a ticket from and show this to them. however the staff were awful to me and take all my details (even my place of birth) and asked me to pay a fine of £20. I had no problem paying the fine but the man you was talking to me was sarcastic and treated me like a criminal and really unfair! If the people there can't be HUMANS then you should't give them a job that requires human communication every day!!
3,Very good,Saved about £50 on a single trip using NationalRail to pick specific trains that are inexplicably cheaper than the surrounding journeys. It's easy to use and looks good. Very good!
4,Check it out.,I always use the national rail enquiry site when planning a rail journey.  The site allows you to find the quickest route and the cheapest fare. It also has up to date information on travel disruptions.
5,Oh no! There is always a problem!,"The website always has a problem. You can look up one journey, head back to the main menu put in a new journey and then up pops up ""Oh no! There's been a problem"". Crap website."
6,Terrible communication from staff st…,"Terrible communication from staff st Stockport train station. They announced the next train on platform 2 was the 10.16 to Bristol temple meads. But it wasn’t. It was the delayed Norwich train resulting in Huge amount of inconvenience and delays impacting me, my colleagues and customers. Well done everyone at Stockport station this morning. Total incompetence and disregard for the customer."
7,Cancellations due to heavy snow? It’s not snowin!,"Snow hits Britain..Trains were running ok in the morning then at night when there’s not a single snow flock left, they are all cancelled due to heavy snow...what snow?! People responsible for this excuse are damn stupid, wanna cancel trains for whatever reason? at least come up with an excuse that’d make sense..something believable. Snow melted away by midday, it’s now 21:30"
8,The Worst Company In Britain,"National rail is the worst company in Britain. In other developed countries trains run regularly and on time and the company cares when things go wrong. In other developed countries trains are quick and comfortable. Not in Britain. I am currently sat on an already delayed train which is pointing in the direction of Brighton but hasn't moved for the past 15 minutes due to a 'problem'. We have been given no other information nor how long we expect to wait. This is typical of the British railway system and I am in no way surprised; it is second nature for me to factor delays into my journeys now. One positive is that there is no need to worry about missing your train in Britain as they are always at least 5 minutes late, and often closer to 15. I am now stood on the platform of an unknown station after being kicked off the train to Brighton which was deemed unservicable, and I am still not surprised. The price I payed for this third-world service was appalling and the price of trains in general means it is often cheaper to fly to your destination via Spain or Ireland, as well as quicker, easier, more reliable and more comfortable. The entire British rail system is a national disgrace from head office to the 'service' itself. Someone is currently locked in the toilet of the unservicable train and as a result it cannot move to make way for the replacement. The temperature is minus 3. I wish I had slept at Luton Airport until the busses recovered from the horrific two-inch snowfall and resultant traffic chaos."
9,Christmas got cancelled - no refund,Worst customer service I've ever received.
